"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"168","Bayern Munich","Benfica",1,0,"Team 1 Menang"
"169","Benfica","Bayern Munich",2,2,"Imbang"
"170","Barcelona","Atlético Madrid",2,1,"Team 1 Menang"
"171","Atlético Madrid","Barcelona",2,0,"Team 1 Menang"
"172","Wolfsburg","Real Madrid",2,0,"Team 1 Menang"
"173","Real Madrid","Wolfsburg",3,0,"Team 1 Menang"
"174","Paris S-G","Manchester City",2,2,"Imbang"
"175","Manchester City","Paris S-G",1,0,"Team 1 Menang"
"176","Juventus","Bayern Munich",2,2,"Imbang"
"177","Bayern Munich","Juventus",4,2,"Team 1 Menang"
"178","Arsenal","Barcelona",0,2,"Team 2 Menang"
"179","Barcelona","Arsenal",3,1,"Team 1 Menang"
"180","Gent","Wolfsburg",2,3,"Team 2 Menang"
"181","Wolfsburg","Gent",1,0,"Team 1 Menang"
"182","Roma","Real Madrid",0,2,"Team 2 Menang"
"183","Real Madrid","Roma",2,0,"Team 1 Menang"
"184","Benfica","Zenit",1,0,"Team 1 Menang"
"185","Zenit","Benfica",1,2,"Team 2 Menang"
"186","Dynamo Kyiv","Manchester City",1,3,"Team 2 Menang"
"187","Manchester City","Dynamo Kyiv",0,0,"Imbang"
"188","Paris S-G","Chelsea",2,1,"Team 1 Menang"
"189","Chelsea","Paris S-G",1,2,"Team 2 Menang"
"190","PSV Eindhoven","Atlético Madrid",0,0,"Imbang"
"191","Atlético Madrid","PSV Eindhoven",0,0,"Imbang"
"192","Barcelona","Juventus",3,1,"Team 1 Menang"
"193","Barcelona","Bayern Munich",3,0,"Team 1 Menang"
"194","Bayern Munich","Barcelona",3,2,"Team 1 Menang"
"195","Juventus","Real Madrid",2,1,"Team 1 Menang"
"196","Real Madrid","Juventus",1,1,"Imbang"
"197","Porto","Bayern Munich",3,1,"Team 1 Menang"
"198","Bayern Munich","Porto",6,1,"Team 1 Menang"
"199","Paris S-G","Barcelona",1,3,"Team 2 Menang"
"200","Barcelona","Paris S-G",2,0,"Team 1 Menang"
"201","Atlético Madrid","Real Madrid",0,0,"Imbang"
"202","Real Madrid","Atlético Madrid",1,0,"Team 1 Menang"
"203","Juventus","Monaco",1,0,"Team 1 Menang"
"204","Monaco","Juventus",0,0,"Imbang"
"205","Shakhtar","Bayern Munich",0,0,"Imbang"
"206","Bayern Munich","Shakhtar",7,0,"Team 1 Menang"
"207","Arsenal","Monaco",1,3,"Team 2 Menang"
"208","Monaco","Arsenal",0,2,"Team 2 Menang"
"209","Manchester City","Barcelona",1,2,"Team 2 Menang"
"210","Barcelona","Manchester City",1,0,"Team 1 Menang"
"211","Schalke 04","Real Madrid",0,2,"Team 2 Menang"
